disease,MAE,n,variant,seed_run,fold_test_year
AFP,0.2510415017604828,50,transformer_only,123,2020
CSM,1.0242937803268433,50,transformer_only,123,2020
Cholera,2.0094902515411377,50,transformer_only,123,2020
Lassa Fever,0.6110658049583435,50,transformer_only,123,2020
Measles,0.9949744343757629,50,transformer_only,123,2020
Mpox,0.8183372616767883,50,transformer_only,123,2020
Yellow Fever,1.033600091934204,50,transformer_only,123,2020
AFP,0.25436872243881226,50,no_tcn,123,2020
CSM,0.9507288932800293,50,no_tcn,123,2020
Cholera,1.8803095817565918,50,no_tcn,123,2020
Lassa Fever,0.6092004776000977,50,no_tcn,123,2020
Measles,0.886593759059906,50,no_tcn,123,2020
Mpox,0.7086072564125061,50,no_tcn,123,2020
Yellow Fever,0.9959877729415894,50,no_tcn,123,2020
AFP,0.2888815104961395,50,no_bilstm,123,2020
CSM,1.0150015354156494,50,no_bilstm,123,2020
Cholera,1.9776784181594849,50,no_bilstm,123,2020
Lassa Fever,0.5930954217910767,50,no_bilstm,123,2020
Measles,0.880730152130127,50,no_bilstm,123,2020
Mpox,0.8023011684417725,50,no_bilstm,123,2020
Yellow Fever,1.0456745624542236,50,no_bilstm,123,2020
AFP,0.2450636625289917,50,no_transformer,123,2020
CSM,1.0021162033081055,50,no_transformer,123,2020
Cholera,1.947261095046997,50,no_transformer,123,2020
Lassa Fever,0.6052024960517883,50,no_transformer,123,2020
Measles,0.9626432657241821,50,no_transformer,123,2020
Mpox,0.773986279964447,50,no_transformer,123,2020
Yellow Fever,1.0203745365142822,50,no_transformer,123,2020
AFP,0.29525071382522583,50,full_uniform,123,2020
CSM,1.0622204542160034,50,full_uniform,123,2020
Cholera,2.058485269546509,50,full_uniform,123,2020
Lassa Fever,0.5999308228492737,50,full_uniform,123,2020
Measles,0.9881455302238464,50,full_uniform,123,2020
Mpox,0.8760331869125366,50,full_uniform,123,2020
Yellow Fever,1.0686625242233276,50,full_uniform,123,2020
AFP,0.40239426493644714,27,tcn_only,123,2021
CSM,0.855378270149231,27,tcn_only,123,2021
Cholera,2.5197582244873047,27,tcn_only,123,2021
Lassa Fever,0.43531009554862976,27,tcn_only,123,2021
Measles,0.5842707753181458,27,tcn_only,123,2021
Mpox,0.6405844688415527,27,tcn_only,123,2021
Yellow Fever,0.5262026786804199,27,tcn_only,123,2021
AFP,0.42068958282470703,27,bilstm_only,123,2021
CSM,0.8915768265724182,27,bilstm_only,123,2021
Cholera,2.3237128257751465,27,bilstm_only,123,2021
Lassa Fever,0.4960517883300781,27,bilstm_only,123,2021
Measles,0.5535719394683838,27,bilstm_only,123,2021
Mpox,0.648774266242981,27,bilstm_only,123,2021
Yellow Fever,0.556479275226593,27,bilstm_only,123,2021
AFP,0.42398133873939514,27,transformer_only,123,2021
CSM,0.9371237754821777,27,transformer_only,123,2021
Cholera,2.2229325771331787,27,transformer_only,123,2021
Lassa Fever,0.5988380908966064,27,transformer_only,123,2021
Measles,0.5271740555763245,27,transformer_only,123,2021
Mpox,0.6590826511383057,27,transformer_only,123,2021
Yellow Fever,0.5892929434776306,27,transformer_only,123,2021
AFP,0.4486566483974457,27,no_tcn,123,2021
CSM,0.8930033445358276,27,no_tcn,123,2021
Cholera,2.2358639240264893,27,no_tcn,123,2021
Lassa Fever,0.48112982511520386,27,no_tcn,123,2021
Measles,0.4927087426185608,27,no_tcn,123,2021
Mpox,0.6403248310089111,27,no_tcn,123,2021
Yellow Fever,0.5814913511276245,27,no_tcn,123,2021
AFP,0.4517754316329956,27,no_bilstm,123,2021
CSM,0.8433670997619629,27,no_bilstm,123,2021
Cholera,2.456451416015625,27,no_bilstm,123,2021
Lassa Fever,0.4033423662185669,27,no_bilstm,123,2021
Measles,0.5340601801872253,27,no_bilstm,123,2021
Mpox,0.6370769739151001,27,no_bilstm,123,2021
Yellow Fever,0.5455749034881592,27,no_bilstm,123,2021
AFP,0.5019159913063049,27,no_transformer,123,2021
CSM,0.9364047646522522,27,no_transformer,123,2021
Cholera,2.201045513153076,27,no_transformer,123,2021
Lassa Fever,0.4114032983779907,27,no_transformer,123,2021
Measles,0.5358030200004578,27,no_transformer,123,2021
Mpox,0.6070116758346558,27,no_transformer,123,2021
Yellow Fever,0.6229625344276428,27,no_transformer,123,2021
AFP,0.459370493888855,27,full_uniform,123,2021
CSM,0.8431515097618103,27,full_uniform,123,2021
Cholera,2.5061964988708496,27,full_uniform,123,2021
Lassa Fever,0.3144252300262451,27,full_uniform,123,2021
Measles,0.5706676244735718,27,full_uniform,123,2021
Mpox,0.6105446219444275,27,full_uniform,123,2021
Yellow Fever,0.545908510684967,27,full_uniform,123,2021
AFP,0.42925599217414856,15,tcn_only,123,2022
CSM,0.510469913482666,15,tcn_only,123,2022
Cholera,2.1057257652282715,15,tcn_only,123,2022
Lassa Fever,0.36239227652549744,15,tcn_only,123,2022
Measles,0.8330186605453491,15,tcn_only,123,2022
Mpox,2.653937339782715,15,tcn_only,123,2022
Yellow Fever,0.4082966446876526,15,tcn_only,123,2022
AFP,0.3509477972984314,15,bilstm_only,123,2022
CSM,0.6331103444099426,15,bilstm_only,123,2022
Cholera,1.4947705268859863,15,bilstm_only,123,2022
Lassa Fever,0.1829957365989685,15,bilstm_only,123,2022
Measles,0.6828902959823608,15,bilstm_only,123,2022
Mpox,2.44317626953125,15,bilstm_only,123,2022
Yellow Fever,0.553932785987854,15,bilstm_only,123,2022
AFP,0.37764355540275574,15,transformer_only,123,2022
CSM,0.4880552887916565,15,transformer_only,123,2022
Cholera,1.9001173973083496,15,transformer_only,123,2022
Lassa Fever,0.28360939025878906,15,transformer_only,123,2022
