disease,MAE,n,variant,seed_run,fold_test_year
Mpox,0.7405191659927368,50,entropy_w_0.02,123,2020
Yellow Fever,1.0148141384124756,50,entropy_w_0.02,123,2020
AFP,0.34328773617744446,50,entropy_w_0.05,123,2020
CSM,1.1200920343399048,50,entropy_w_0.05,123,2020
Cholera,2.1681089401245117,50,entropy_w_0.05,123,2020
Lassa Fever,0.6271612644195557,50,entropy_w_0.05,123,2020
Measles,1.1530429124832153,50,entropy_w_0.05,123,2020
Mpox,0.9551885724067688,50,entropy_w_0.05,123,2020
Yellow Fever,1.0938911437988281,50,entropy_w_0.05,123,2020
AFP,0.2757238745689392,50,entropy_w_0.1,123,2020
CSM,1.037074327468872,50,entropy_w_0.1,123,2020
Cholera,1.997983694076538,50,entropy_w_0.1,123,2020
Lassa Fever,0.6013975143432617,50,entropy_w_0.1,123,2020
Measles,0.9788229465484619,50,entropy_w_0.1,123,2020
Mpox,0.8377982378005981,50,entropy_w_0.1,123,2020
Yellow Fever,1.045669436454773,50,entropy_w_0.1,123,2020
AFP,0.31344690918922424,50,entropy_w_0.2,123,2020
CSM,1.0696309804916382,50,entropy_w_0.2,123,2020
Cholera,2.085265874862671,50,entropy_w_0.2,123,2020
Lassa Fever,0.6158355474472046,50,entropy_w_0.2,123,2020
Measles,1.0597859621047974,50,entropy_w_0.2,123,2020
Mpox,0.8918002247810364,50,entropy_w_0.2,123,2020
Yellow Fever,1.0598407983779907,50,entropy_w_0.2,123,2020
AFP,0.43963032960891724,27,uniform_gate,123,2021
CSM,0.8778406977653503,27,uniform_gate,123,2021
Cholera,2.431447744369507,27,uniform_gate,123,2021
Lassa Fever,0.40681153535842896,27,uniform_gate,123,2021
Measles,0.5550903677940369,27,uniform_gate,123,2021
Mpox,0.6212929487228394,27,uniform_gate,123,2021
Yellow Fever,0.558147132396698,27,uniform_gate,123,2021
AFP,0.47289353609085083,27,entropy_w_0.0,123,2021
CSM,0.8911255598068237,27,entropy_w_0.0,123,2021
Cholera,2.3389620780944824,27,entropy_w_0.0,123,2021
Lassa Fever,0.363398939371109,27,entropy_w_0.0,123,2021
Measles,0.5257294774055481,27,entropy_w_0.0,123,2021
Mpox,0.5905897617340088,27,entropy_w_0.0,123,2021
Yellow Fever,0.5965269804000854,27,entropy_w_0.0,123,2021
AFP,0.479968398809433,27,entropy_w_0.02,123,2021
CSM,0.8491715788841248,27,entropy_w_0.02,123,2021
Cholera,2.4380619525909424,27,entropy_w_0.02,123,2021
Lassa Fever,0.31427323818206787,27,entropy_w_0.02,123,2021
Measles,0.5432931184768677,27,entropy_w_0.02,123,2021
Mpox,0.6033203601837158,27,entropy_w_0.02,123,2021
Yellow Fever,0.5494993925094604,27,entropy_w_0.02,123,2021
AFP,0.490935355424881,27,entropy_w_0.05,123,2021
CSM,0.9114100933074951,27,entropy_w_0.05,123,2021
Cholera,2.186312437057495,27,entropy_w_0.05,123,2021
Lassa Fever,0.42628395557403564,27,entropy_w_0.05,123,2021
Measles,0.5195437073707581,27,entropy_w_0.05,123,2021
Mpox,0.6315123438835144,27,entropy_w_0.05,123,2021
Yellow Fever,0.6192443370819092,27,entropy_w_0.05,123,2021
AFP,0.5157796144485474,27,entropy_w_0.1,123,2021
CSM,0.9932677745819092,27,entropy_w_0.1,123,2021
Cholera,2.0261831283569336,27,entropy_w_0.1,123,2021
Lassa Fever,0.5619620084762573,27,entropy_w_0.1,123,2021
Measles,0.48653560876846313,27,entropy_w_0.1,123,2021
Mpox,0.6520033478736877,27,entropy_w_0.1,123,2021
Yellow Fever,0.6953057646751404,27,entropy_w_0.1,123,2021
AFP,0.4773712158203125,27,entropy_w_0.2,123,2021
CSM,0.912489652633667,27,entropy_w_0.2,123,2021
Cholera,2.280348777770996,27,entropy_w_0.2,123,2021
Lassa Fever,0.4291461706161499,27,entropy_w_0.2,123,2021
Measles,0.5045866370201111,27,entropy_w_0.2,123,2021
Mpox,0.6164288520812988,27,entropy_w_0.2,123,2021
Yellow Fever,0.6140940189361572,27,entropy_w_0.2,123,2021
AFP,0.3347587585449219,15,uniform_gate,123,2022
CSM,0.691697359085083,15,uniform_gate,123,2022
Cholera,1.14079749584198,15,uniform_gate,123,2022
Lassa Fever,0.16638511419296265,15,uniform_gate,123,2022
Measles,0.6841062307357788,15,uniform_gate,123,2022
Mpox,2.335331916809082,15,uniform_gate,123,2022
Yellow Fever,0.6557782292366028,15,uniform_gate,123,2022
AFP,0.33514460921287537,15,entropy_w_0.0,123,2022
CSM,0.6085894107818604,15,entropy_w_0.0,123,2022
Cholera,1.4141279458999634,15,entropy_w_0.0,123,2022
Lassa Fever,0.17252476513385773,15,entropy_w_0.0,123,2022
Measles,0.6220901608467102,15,entropy_w_0.0,123,2022
Mpox,2.4186389446258545,15,entropy_w_0.0,123,2022
Yellow Fever,0.5451499223709106,15,entropy_w_0.0,123,2022
AFP,0.38044473528862,15,entropy_w_0.02,123,2022
CSM,0.5035081505775452,15,entropy_w_0.02,123,2022
Cholera,1.8729667663574219,15,entropy_w_0.02,123,2022
Lassa Fever,0.26843613386154175,15,entropy_w_0.02,123,2022
Measles,0.7126463651657104,15,entropy_w_0.02,123,2022
Mpox,2.5782954692840576,15,entropy_w_0.02,123,2022
Yellow Fever,0.39932507276535034,15,entropy_w_0.02,123,2022
AFP,0.28850001096725464,15,entropy_w_0.05,123,2022
CSM,0.6533380746841431,15,entropy_w_0.05,123,2022
Cholera,1.1147595643997192,15,entropy_w_0.05,123,2022
Lassa Fever,0.18576599657535553,15,entropy_w_0.05,123,2022
Measles,0.5798088908195496,15,entropy_w_0.05,123,2022
Mpox,2.3092381954193115,15,entropy_w_0.05,123,2022
Yellow Fever,0.677932858467102,15,entropy_w_0.05,123,2022
AFP,0.37474027276039124,15,entropy_w_0.1,123,2022
CSM,0.5070757269859314,15,entropy_w_0.1,123,2022
Cholera,1.8294512033462524,15,entropy_w_0.1,123,2022
Lassa Fever,0.2743789851665497,15,entropy_w_0.1,123,2022
Measles,0.7076398730278015,15,entropy_w_0.1,123,2022
Mpox,2.5652923583984375,15,entropy_w_0.1,123,2022
Yellow Fever,0.4254228472709656,15,entropy_w_0.1,123,2022
AFP,0.5516880750656128,15,entropy_w_0.2,123,2022
CSM,0.5907726883888245,15,entropy_w_0.2,123,2022
Cholera,2.7052576541900635,15,entropy_w_0.2,123,2022
Lassa Fever,0.4839674234390259,15,entropy_w_0.2,123,2022
Measles,1.0627048015594482,15,entropy_w_0.2,123,2022
Mpox,2.7876665592193604,15,entropy_w_0.2,123,2022
Yellow Fever,0.33889085054397583,15,entropy_w_0.2,123,2022
AFP,0.800469160079956,22,uniform_gate,123,2023
CSM,1.218583106994629,22,uniform_gate,123,2023
Cholera,0.9889211654663086,22,uniform_gate,123,2023
Lassa Fever,0.3071882128715515,22,uniform_gate,123,2023
Measles,1.6265429258346558,22,uniform_gate,123,2023
Mpox,1.736060619354248,22,uniform_gate,123,2023
Yellow Fever,0.63740074634552,22,uniform_gate,123,2023
AFP,0.8017397522926331,22,entropy_w_0.0,123,2023
CSM,1.2130831480026245,22,entropy_w_0.0,123,2023
Cholera,1.009358286857605,22,entropy_w_0.0,123,2023
Lassa Fever,0.2936843931674957,22,entropy_w_0.0,123,2023
Measles,1.6371097564697266,22,entropy_w_0.0,123,2023
Mpox,1.7186537981033325,22,entropy_w_0.0,123,2023
Yellow Fever,0.6245419383049011,22,entropy_w_0.0,123,2023
AFP,0.8200336694717407,22,entropy_w_0.02,123,2023
CSM,1.1835402250289917,22,entropy_w_0.02,123,2023
Cholera,1.0022224187850952,22,entropy_w_0.02,123,2023
Lassa Fever,0.31316179037094116,22,entropy_w_0.02,123,2023
Measles,1.5914870500564575,22,entropy_w_0.02,123,2023
Mpox,1.72264564037323,22,entropy_w_0.02,123,2023
Yellow Fever,0.6483504176139832,22,entropy_w_0.02,123,2023
AFP,0.7973340749740601,22,entropy_w_0.05,123,2023
CSM,1.2930182218551636,22,entropy_w_0.05,123,2023
Cholera,1.126291275024414,22,entropy_w_0.05,123,2023
Lassa Fever,0.26725947856903076,22,entropy_w_0.05,123,2023
Measles,1.8529373407363892,22,entropy_w_0.05,123,2023
Mpox,1.6497821807861328,22,entropy_w_0.05,123,2023
Yellow Fever,0.6275031566619873,22,entropy_w_0.05,123,2023
AFP,0.810514509677887,22,entropy_w_0.1,123,2023
CSM,1.2250078916549683,22,entropy_w_0.1,123,2023
Cholera,0.9570735692977905,22,entropy_w_0.1,123,2023
