day,Susceptible,Exposed,Infectious,Recovered
144.0,6995071.915256457,135438.75268130013,1292574.6017441107,191576914.73031813
145.0,6979878.223440434,124718.21258502945,1194221.3890432925,191701182.17493123
146.0,6965868.846451051,114857.73052954068,1103275.8357063918,191815997.587313
147.0,6952949.819147293,105736.81266636867,1019239.1460786692,191922074.22210765
148.0,6941033.183080844,97327.96718010685,941547.9792468793,192020090.87049216
149.0,6930043.143153551,89598.68415333203,869721.9549275942,192110636.2177655
150.0,6919909.151748421,82505.92270570829,803325.3663534621,192194259.5591924
151.0,6910564.876179839,76003.97624188688,741952.2156882553,192271478.93189
152.0,6901948.198693577,70044.47245150604,685226.2140268704,192342781.11482805
153.0,6894001.216466792,64576.373309191185,632800.7813953289,192408621.62882867
154.0,6886670.241608019,59545.975074554764,584359.0467507754,192469424.73656663
155.0,6879905.801157182,54896.9082921963,539613.8479814797,192525583.44256914
156.0,6873662.1949521,50590.32617236211,498283.45686958625,192577464.02200595
157.0,6867899.831882513,46619.16840401964,460094.2581119874,192625386.74160147
158.0,6862583.584344882,42963.671313216415,424817.1230297723,192669635.6213121
159.0,6857680.127520921,39603.24113826591,392236.19904402865,192710480.43229678
160.0,6853157.928524009,36516.59876772243,362148.68055794947,192748176.79215032
161.0,6848987.246399189,33681.7797403811,334364.80895683344,192782966.16490358
162.0,6845140.13212317,31076.134245277906,308707.8726080848,192815075.86102346
163.0,6841590.4286043225,28676.327121689625,285014.20686121326,192844719.03741276
164.0,6838313.770682682,26458.337859133888,263133.1940478342,192872094.69741035
165.0,6835287.683963207,24401.06218795093,242924.1345950475,192897387.11925378
166.0,6832493.207411915,22500.13623842149,224253.52029212713,192920753.13605753
167.0,6829913.998381734,20747.2396559523,207011.05629175113,192942327.70567054
168.0,6827534.496320228,19132.968205924375,191093.21777867354,192962239.31769517
169.0,6825339.867529458,17647.807717334825,176401.80205993017,192980610.52269328
170.0,6823316.005165981,16282.134082796894,162843.92856483886,192997557.93218637
171.0,6821449.52924085,15026.213258539929,150332.03884499933,193013192.2186556
172.0,6819727.786619615,13870.20126440939,138783.89657429318,193027618.11554167
173.0,6818138.851022318,12804.144183866856,128122.58754888395,193040934.4172449
174.0,6816671.523023504,11817.97816399002,118276.5196872171,193053233.97912526
175.0,6815315.528373939,10902.987440299905,109179.31535654653,193064602.1688292
176.0,6814062.8340324955,10057.115275769267,100773.86914276703,193075106.18154895
177.0,6812906.375181116,9276.556234063017,93012.11031546892,193084804.95826933
178.0,6811839.354424608,8557.124826616304,85848.33355791535,193093755.18719083
179.0,6810855.257690386,7894.649827359319,79238.88929058675,193102011.20319164
180.0,6809947.854228468,7284.974272717295,73142.18367118071,193109624.9878276
181.0,6809111.196611482,6723.955461610504,67518.67859461214,193116646.16933227
