day,Susceptible,Infectious,Recovered
228.0,6790996.5887889145,13.754255729972506,193208989.65695536
229.0,6790996.432064644,12.592223233789369,193208990.97571212
230.0,6790996.288404766,11.527056685492747,193208992.18453854
231.0,6790996.156870123,10.551792701741663,193208993.29133716
232.0,6790996.036551195,9.65968764661211,193208994.30376115
233.0,6790995.926568099,8.844217631597058,193208995.22921428
234.0,6790995.82607059,8.099078515606454,193208996.0748509
235.0,6790995.734238061,7.4181859049672205,193208996.84757602
236.0,6790995.6502795415,6.7956751534232485,193208997.5540453
237.0,6790995.573433698,6.2259013621354065,193208998.20066494
238.0,6790995.502968837,5.703439379681543,193208998.79359177
239.0,6790995.43818979,5.2231348892917016,193208999.33867532
240.0,6790995.378680424,4.781902463193205,193208999.83941713
241.0,6790995.324127843,4.377422135039408,193209000.29845002
242.0,6790995.274176572,4.007058247882755,193209000.7187652
243.0,6790995.2284823395,3.66825816586468,193209001.1032595
244.0,6790995.186712062,3.358552274215616,193209001.45473567
245.0,6790995.14854386,3.0755539792549866,193209001.77590215
246.0,6790995.113667048,2.81695970839121,193209002.06937325
247.0,6790995.081782139,2.580548910121698,193209002.33766896
248.0,6790995.052600841,2.3641840540328567,193209002.58321512
249.0,6790995.025846062,2.1658106308000846,193209002.80834332
250.0,6790995.001253306,1.983467530529583,193209003.01527917
251.0,6790994.978657256,1.8159290160099206,193209003.20541373
252.0,6790994.957941845,1.6623345111506085,193209003.37972364
253.0,6790994.938972529,1.5216864313083398,193209003.53934103
254.0,6790994.921618992,1.3930185554540737,193209003.68536246
255.0,6790994.90575515,1.2753960261730368,193209003.81884882
256.0,6790994.891259147,1.167915349664722,193209003.9408255
257.0,6790994.878013359,1.069704395742889,193209004.05228224
258.0,6790994.865904392,0.9799223978355645,193209004.1541732
259.0,6790994.854823079,0.8977599529850417,193209004.24741697
260.0,6790994.844664486,0.8224390218478812,193209004.3328965
261.0,6790994.835328126,0.7532145438486508,193209004.41145733
262.0,6790994.826748314,0.6895994843051755,193209004.4836522
263.0,6790994.818882018,0.6312747946776861,193209004.5498432
264.0,6790994.8116783155,0.5778629092310604,193209004.61045876
265.0,6790994.805087882,0.5289981087988309,193209004.665914
266.0,6790994.79906299,0.48432652078318517,193209004.7166105
267.0,6790994.793557511,0.4435061191549655,193209004.76293635
268.0,6790994.788526912,0.4062067244536695,193209004.80526635
269.0,6790994.783928261,0.3721100037874492,193209004.84396175
270.0,6790994.779720221,0.3409094708331123,193209004.8793703
271.0,6790994.775863054,0.31231048583612053,193209004.91182646
272.0,6790994.772318636,0.28603037755483335,193209004.941651
273.0,6790994.769060861,0.2618755975429031,193209004.96906352
274.0,6790994.766073789,0.23972793379646473,193209004.99419826
275.0,6790994.763338147,0.21944450029523171,193209005.01721734
276.0,6790994.760835267,0.20088688372780686,193209005.03827783
277.0,6790994.758547084,0.18392114349168176,193209005.05753177
278.0,6790994.756456138,0.16841781169323708,193209005.07512605
279.0,6790994.754545569,0.15425189314774232,193209005.09120253
280.0,6790994.7527991235,0.1413028653793561,193209005.105898
281.0,6790994.75120115,0.12945467862112583,193209005.11934417
282.0,6790994.749736598,0.1185957558149881,193209005.13166764
283.0,6790994.748391025,0.10861899261176819,193209005.14298996
284.0,6790994.747154048,0.09944742730451284,193209005.1533985
285.0,6790994.746019768,0.0910372968828786,193209005.16294295
286.0,6790994.744980891,0.08333454517916376,193209005.17168456
287.0,6790994.744030356,0.07628679997353294,193209005.17968285
288.0,6790994.743161327,0.06984337579308611,193209005.1869953
289.0,6790994.742367194,0.06395527391185873,193209005.19367754
290.0,6790994.741641576,0.05857518235082169,193209005.19978324
291.0,6790994.740978322,0.053657475877881305,193209005.2053642
292.0,6790994.740371503,0.04915821600787929,193209005.2104703
293.0,6790994.739815422,0.045035151002592824,193209005.21514943
294.0,6790994.739304608,0.04124771587073453,193209005.21944767
295.0,6790994.738834938,0.03776534816154324,193209005.22339973
296.0,6790994.738404217,0.03457176460172706,193209005.22702405
297.0,6790994.738009694,0.03164656975014141,193209005.23034376
298.0,6790994.737648698,0.02896996013816432,193209005.23338136
299.0,6790994.737318642,0.026522766471234284,193209005.2361586
300.0,6790994.73701703,0.024286453628850232,193209005.23869655
301.0,6790994.736741443,0.02224312066457156,193209005.24101546
302.0,6790994.736489556,0.020375500806018097,193209005.24313495
303.0,6790994.736259124,0.018666961454870144,193209005.24507394
304.0,6790994.73604799,0.017101504186868424,193209005.24685052
305.0,6790994.735854081,0.015663764751814153,193209005.24848217
306.0,6790994.735675759,0.014341596838946818,193209005.24998268
307.0,6790994.7355122,0.013128884738370376,193209005.25135896
308.0,6790994.7353623705,0.012017978655655055,193209005.25261968
309.0,6790994.735225264,0.011001403281413979,193209005.25377336
310.0,6790994.735099904,0.010071919825472411,193209005.2548282
311.0,6790994.734985346,0.009222526016867752,193209005.25579214
312.0,6790994.7348806765,0.008446456103849538,193209005.2566729
313.0,6790994.734785016,0.007737180853879453,193209005.25747782
314.0,6790994.734697515,0.007088407553631318,193209005.25821412
315.0,6790994.734617358,0.006494080008991085,193209005.2588886
316.0,6790994.734543759,0.005948378545056858,193209005.2595079
317.0,6790994.734476062,0.005446438934833611,193209005.2600775
318.0,6790994.734413952,0.0049859210798543045,193209005.26060015
319.0,6790994.734357046,0.0045639954163280375,193209005.26107898
320.0,6790994.734304966,0.004177853233106613,193209005.2615172
321.0,6790994.734257346,0.0038247721605956385,193209005.2619179
322.0,6790994.734213829,0.003502116170754538,193209005.26228407
323.0,6790994.734174072,0.003207335577096541,193209005.2626186
324.0,6790994.734137742,0.0029379670346886886,193209005.2629243
325.0,6790994.734104519,0.002691633540151832,193209005.26320386
326.0,6790994.734074093,0.0024660444316606297,193209005.2634599
327.0,6790994.734046169,0.002258995388943555,193209005.26369485
328.0,6790994.734020478,0.0020685088207407012,193209005.263911
329.0,6790994.733996891,0.0018936275089784385,193209005.2641095
330.0,6790994.7339752745,0.0017333475685722443,193209005.26429138
331.0,6790994.733955486,0.001586626725609309,193209005.26445788
332.0,6790994.73393739,0.0014524524622490475,193209005.26461017
333.0,6790994.733920854,0.0013298420167231016,193209005.26474932
334.0,6790994.7339057475,0.0012178423833353364,193209005.26487643
335.0,6790994.733891949,0.0011155303124618437,193209005.26499254
336.0,6790994.733879336,0.00102201231055094,193209005.26509866
337.0,6790994.733867792,0.0009364246401231671,193209005.2651958
338.0,6790994.733857207,0.0008579333197712921,193209005.26528487
339.0,6790994.733847469,0.0007857371250478964,193209005.26536682
340.0,6790994.733838514,0.0007193405884240832,193209005.26544216
341.0,6790994.7338303,0.0006584344992072009,193209005.26551127
342.0,6790994.733822775,0.00060264496939173,193209005.2655746
343.0,6790994.733815892,0.0005516068274482404,193209005.2656325
344.0,6790994.7338096015,0.0005049636183233918,193209005.26568544
345.0,6790994.733803856,0.0004623676034399334,193209005.26573378
346.0,6790994.733798611,0.0004234797606967046,193209005.26577792
347.0,6790994.733793822,0.00038796978446863393,193209005.2658182
348.0,6790994.733789445,0.00035551608560673996,193209005.26585504
349.0,6790994.733785438,0.0003258057914381307,193209005.26588878
350.0,6790994.73378176,0.0002985347457660042,193209005.26591972
351.0,6790994.7337783715,0.00027341125202085047,193209005.26594824
352.0,6790994.7337752525,0.00025028244351920547,193209005.2659745
353.0,6790994.733772389,0.0002290510596535323,193209005.26599857
354.0,6790994.733769765,0.00020959656036354316,193209005.26602066
355.0,6790994.733767365,0.00019179977849525476,193209005.26604086
356.0,6790994.733765172,0.00017554291980098814,193209005.2660593
357.0,6790994.733763171,0.00016070956293936858,193209005.26607615
358.0,6790994.733761348,0.0001471846594753258,193209005.2660915
359.0,6790994.7337596845,0.00013485453388009373,193209005.26610547
360.0,6790994.733758167,0.00012360688353121074,193209005.26611826
361.0,6790994.733756782,0.00011333077871251952,193209005.2661299
362.0,6790994.733755512,0.00010391666261416694,193209005.26614058
363.0,6790994.733754344,9.52563513326045e-05,193209005.26615041
364.0,6790994.733753264,8.724826670252502e-05,193209005.2661595
365.0,6790994.733752271,7.988930115565993e-05,193209005.26616785
